Performing sorting test of 10 size 
40 104 60 156 223 53 114 77 30 4 
Serial sort of 10 size 
4 30 40 53 60 77 104 114 156 223 
Odd even sort of 10 size 
4 30 40 53 60 77 104 114 156 223 
Parallel sort of 10 size 
40 104 60 156 53 223 77 114 4 30 
Test pass, arrays are equal.
1000;7;5;0
6000;328;197;0
11000;1157;685;0
16000;2506;1506;0
21000;4325;2580;0
26000;6819;4021;0
31000;9838;5789;0
36000;13121;7800;0
41000;17297;10149;0
46000;21850;12889;0
51000;27108;15715;0
56000;32625;19187;0
